id,perm,required,filename
1,r,yes,file.txt
2,r,yes,file.txt
3,r,no,
4,r,yes,source_file.txt
5,r,yes,file.txt
6,r,yes,file.txt
7,r,yes,file.txt
8,r,yes,source_file.txt
9,r,no,
10,r,no,
11,r,yes,file.txt
12,r,yes,/dev/zero
13,r,no,
14,r,yes,file1.txt
14,r,yes,file2.txt
15,r,yes,EOF
15,r,yes,file.txt
16,r,yes,file.txt
17,r,yes,input_file.txt
18,r,yes,file1.txt
18,r,yes,file2.txt
18,r,yes,archive.tar.gz
19,r,yes,archive.zip
19,r,yes,file1.txt
19,r,yes,file2.txt
20,r,yes,file.txt
21,r,yes,file.txt
22,r,yes,file.txt
23,r,yes,file.txt
24,r,no,
25,r,no,
26,r,yes,file.txt
27,r,yes,/dev/zero
28,r,no,
29,r,yes,file1.txt
29,r,yes,file2.txt
29,r,yes,file3.txt
30,r,yes,file.txt
31,r,yes,input_file.txt
32,r,yes,file1.txt
32,r,yes,file2.txt
33,r,yes,file.txt
34,r,yes,file.txt
35,r,yes,file.txt
36,r,yes,file1.txt
36,r,yes,file2.txt
37,r,yes,file.hex
37,r,yes,file.txt
38,r,yes,file.txt
39,r,yes,file.b64
40,r,no,
41,r,yes,file.iv
42,r,yes,file.txt
42,r,yes,file.md5
43,r,yes,file.txt
44,r,yes,file.txt
44,r,yes,new_file.txt
45,r,yes,file.txt
46,r,yes,input_file.txt
47,r,yes,input_file.txt
47,r,yes,file.txt
